Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
Queja;Contestado;2021-12-08;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;MONITORIZACION DEL SATELITE SENTINEL
Queja;Contestado;2021-12-07;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;Necesita información para presentar documentación en registro
Queja;Contestado;2021-12-05;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;Información sobre MOGA
Queja;Contestado;2021-12-04;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Registro necesario en SAC de Belorado
Queja;Contestado;2021-11-22;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;No posibilidad de gravar datos exactos de animales de especie bovina
Queja;Contestado;2021-11-22;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;AVILA;DEMORA EN LA RESOLUCIÓN DE RECURSO DE ALZADA
Queja;Contestado;2021-11-06;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;Crotales de material deficiente
Queja;Contestado;2021-11-03;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO HAY AUXILIAR ADMINISTRATIVO
Queja;Contestado;2021-10-29;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Mala atención en los registros de Berlanga de Duero y El Burgo de Osma
Queja;Contestado;2021-10-28;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;No se tramita el alta en facturación electrónica
Queja;Contestado;2021-10-21;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Desacuerdo con las normas del centro
Queja;Contestado;2021-10-13;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Tambien remitida a la Consejería de Fomento y Medio Ambiente para su contestación a través de la queja
Queja;Contestado;2021-10-12;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;La interesada se queja de la falta de personal en la Unidad Veterianria de Carbonero el Mayor
Queja;Contestado;2021-09-15;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;RECLAMACIÓN DE MODIFICACIÓN DE TÍTULOS DE PROPIEDAD
Queja;Contestado;2021-09-12;OAMR;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;RETRASO EN RECOGIDA CADAVER OVEJA
Queja;Contestado;2021-09-04;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;RETRASOS EN EL APLICATIVO DE LA PAC
Queja;Contestado;2021-09-04;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Registro necesario en SAC de Belorado
Queja;Contestado;2021-07-30;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;PALENCIA;Ventanilla Única
Queja;Contestado;2021-07-26;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Demora en contestación y notificación de recurso de alzada
Queja;Contestado;2021-07-05;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Demora en la resolución de la denuncia presentada por ANPBA el 13-3-2020
Queja;Contestado;2021-07-05;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;acceso telemático a la aplicación electrónica reestructuración viñedo 2021
Queja;Contestado;2021-07-05;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;APLICACIÓN REESTRUCTURACIÓN DE VIÑEDO 2021
Queja;Contestado;2021-06-29;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SEGOVIA;El interesado se queja porque quiere volver a la normalidad
Queja;Contestado;2021-06-24;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;no poder registral y no poder aparcar.
Queja;Contestado;2021-06-23;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Reclamación ante la situación que está viviendo en el centro (CIFP Almazán)
Queja;Contestado;2021-06-16;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;Pozo agua estancada e inacción por Ayuntamiento Villaturiel
Queja;Contestado;2021-06-07;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;PALENCIA;Registro cerrado en la UDA de Guardo
Sugerencia;Contestado;2021-05-25;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;APLICACION PAC CERTIFICADO DIGITAL
Queja;Contestado;2021-05-24;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SALAMANCA;Trato inadecuado y desacuerdo con actuación
Queja;Contestado;2021-05-20;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SORIA;Trato inadecuado
Queja;Contestado;2021-05-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;MOGA
Queja;Contestado;2021-05-13;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Falta de personal en la Unidad Veterinaria de Medina de Pomar
Queja;Contestado;2021-04-21;12;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;..
Queja;Contestado;2021-04-19;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;PALENCIA;Falta de atención presencial
Queja;Contestado;2021-04-19;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Registro necesario en SAC de Belorado
